trial,detection_rate,false_positive_rate,capex_M,reactive_annual_tco_M,nadissp_annual_tco_M,reactive_5yr_tco_M,nadissp_5yr_tco_M,delta_tco_M,npv_M,payback_year,irr,ac_cmaps_turbofan,ac_ai4i_manufacturing,ac_3w_offshore_well,ac_espset_pump
0,0.7817,0.1272,417.303,657.19,305.57,3285.94,1527.85,1515.926,1098.623,2.0,0.6707,660.899,173.148,591.813,419.057
1,0.7134,0.1054,327.798,954.45,80.4,4772.26,402.02,3726.615,3398.817,1.0,2.2676,1196.127,559.058,737.447,1052.013
2,0.8157,0.0638,323.495,380.31,204.37,1901.55,1021.87,785.862,462.367,3.0,0.3933,368.536,240.811,61.136,564.285
3,0.9182,0.1524,249.795,516.6,218.82,2583.0,1094.11,1299.792,1049.997,1.0,1.0089,218.602,653.638,279.095,464.209
4,0.9183,0.2608,334.831,386.44,157.31,1932.22,786.56,1021.784,686.953,2.0,0.5398,308.878,166.042,366.037,340.21
5,0.7762,0.2284,352.183,459.34,169.42,2296.69,847.1,1310.274,958.092,2.0,0.6901,238.091,422.461,488.595,335.858
6,0.8838,0.1791,345.875,567.19,255.13,2835.93,1275.65,1409.915,1064.041,2.0,0.7681,441.838,494.647,316.502,633.169
7,0.8039,0.0372,501.84,249.11,16.58,1245.53,82.89,969.166,467.326,3.0,0.2688,44.93,177.208,75.419,631.715
8,0.7226,0.1743,346.548,587.47,352.33,2937.35,1761.65,1032.903,686.355,2.0,0.5235,306.45,476.36,567.6,286.961
9,0.836,0.0348,557.292,490.55,131.88,2452.73,659.39,1582.62,1025.328,2.0,0.4909,404.433,279.693,271.907,757.204
10,0.9094,0.0585,367.107,373.3,297.48,1866.49,1487.4,271.102,-96.005,,,121.85,84.726,220.826,337.504
11,0.7546,0.3396,299.589,350.94,76.85,1754.71,384.24,1171.105,871.516,2.0,0.7316,88.152,237.637,623.293,324.389
12,0.874,0.071,502.561,487.48,365.19,2437.39,1825.96,541.315,38.755,5.0,0.0253,231.327,446.545,242.715,277.027
13,0.8915,0.1435,408.85,430.22,220.35,2151.08,1101.77,907.908,499.059,3.0,0.3422,540.186,257.664,198.948,301.687
14,0.6398,0.05,329.29,349.89,167.72,1749.46,838.58,754.327,425.037,3.0,0.3595,290.877,73.734,107.324,512.424
15,0.8302,0.0774,342.057,217.71,101.55,1088.56,507.74,490.356,148.299,4.0,0.1334,0.0,311.227,270.65,58.088
16,0.8649,0.052,455.973,689.45,200.77,3447.23,1003.85,2118.866,1662.893,2.0,0.8909,438.068,396.201,478.042,977.042
17,0.8633,0.14,339.22,480.7,276.8,2403.48,1383.99,900.84,561.62,2.0,0.4476,134.647,246.481,402.488,541.067
18,0.7927,0.1824,341.955,184.78,187.22,923.92,936.11,-4.039,-345.994,,,143.921,96.332,105.43,43.549
19,0.8386,0.2336,276.995,477.47,37.47,2387.36,187.35,1907.263,1630.269,1.0,1.3582,444.448,645.361,237.34,527.051
20,0.8958,0.111,294.859,280.68,123.5,1403.41,617.49,672.315,377.456,3.0,0.3569,130.429,338.038,266.768,112.264
21,0.8394,0.0284,312.061,435.48,227.78,2177.42,1138.91,950.584,638.523,2.0,0.5386,106.33,276.733,394.556,537.437
22,0.9638,0.2927,346.106,581.32,242.41,2906.62,1212.06,1476.821,1130.716,2.0,0.8094,99.425,479.87,797.72,450.962
23,0.6095,0.0373,337.168,609.18,101.86,3045.92,509.32,2158.99,1821.822,1.0,1.2589,420.621,1075.927,250.944,498.29
24,0.8724,0.0452,338.594,573.74,143.27,2868.68,716.37,1871.898,1533.304,1.0,1.0771,322.38,469.19,564.975,581.338
25,0.9058,0.1192,276.215,118.4,112.56,592.02,562.8,19.355,-256.861,,,82.967,34.63,0.0,100.949
26,0.8812,0.0518,388.126,339.68,108.49,1698.41,542.44,1022.384,634.258,2.0,0.4425,310.222,217.041,266.866,399.472
27,0.9135,0.0929,415.739,534.47,134.29,2672.35,671.46,1677.723,1261.984,2.0,0.7592,456.459,514.819,217.053,595.235
28,0.8231,0.0605,365.9,433.96,56.56,2169.79,282.82,1619.345,1253.445,2.0,0.8436,358.604,391.535,389.676,424.061
29,0.8628,0.2773,318.444,358.93,303.48,1794.64,1517.38,283.412,-35.032,,,87.578,404.18,373.618,-54.253
30,0.8184,0.1664,288.465,163.95,32.64,819.74,163.2,598.93,310.465,3.0,0.3059,0.0,0.0,438.846,140.675
31,0.6399,0.0462,286.399,246.52,160.9,1232.62,804.51,375.812,89.413,4.0,0.098,152.195,139.179,169.132,210.011
32,0.8154,0.1742,349.742,567.38,206.92,2836.9,1034.61,1559.8,1210.058,2.0,0.8509,494.383,304.216,431.813,552.988
33,0.7284,0.0868,263.723,440.38,276.5,2201.88,1382.52,761.273,497.55,2.0,0.5017,278.631,458.242,325.981,70.686
34,0.7593,0.1013,350.741,541.02,240.56,2705.09,1202.81,1309.142,958.401,2.0,0.6928,632.299,129.822,233.331,611.537
35,0.8527,0.1784,421.316,312.44,176.89,1562.22,884.46,582.567,161.251,4.0,0.1187,0.0,11.905,178.411,656.584
36,0.9425,0.2682,275.347,444.49,118.81,2222.46,594.03,1399.427,1124.08,1.0,0.9834,243.665,304.472,304.704,662.729
37,0.7914,0.2201,380.051,394.82,139.39,1974.09,696.93,1093.556,713.505,2.0,0.4996,385.953,361.546,12.703,552.172
38,0.6495,0.1125,331.666,660.32,155.74,3301.61,778.68,2138.388,1806.722,1.0,1.268,352.018,523.453,703.102,684.559
39,0.829,0.1493,362.65,678.95,129.47,3394.75,647.36,2391.075,2028.425,1.0,1.2981,507.302,376.859,539.81,1022.826
40,0.8903,0.0934,314.366,532.62,298.56,2663.09,1492.82,1009.087,694.72,2.0,0.5759,372.44,534.447,52.174,453.111
41,0.8694,0.1191,306.544,613.55,300.84,3067.73,1504.18,1381.185,1074.64,2.0,0.8607,422.783,328.678,407.635,614.28
42,0.8819,0.089,448.703,458.13,235.57,2290.64,1177.83,923.636,474.933,3.0,0.3014,478.559,174.386,228.848,373.648
43,0.782,0.0776,286.096,387.19,169.68,1935.93,848.42,990.136,704.039,2.0,0.6325,240.13,329.037,408.941,219.342
44,0.9152,0.1899,341.317,423.44,204.03,2117.18,1020.13,910.352,569.035,2.0,0.4503,367.886,337.333,390.872,104.018
45,0.8671,0.1074,283.638,579.33,186.84,2896.66,934.19,1736.75,1453.112,1.0,1.2009,103.226,638.804,792.402,467.636
46,0.8233,0.2637,379.951,434.72,155.49,2173.61,777.45,1188.936,808.984,2.0,0.5576,273.318,403.966,158.699,514.982
47,0.8964,0.0278,398.649,537.99,124.2,2689.96,621.02,1834.464,1435.816,2.0,0.8813,345.998,156.228,223.84,1259.144
48,0.9011,0.1118,332.496,613.46,92.14,3067.31,460.72,2281.813,1949.317,1.0,1.3535,761.06,476.861,496.438,519.245
49,0.6671,0.1435,336.552,347.06,116.7,1735.32,583.48,1004.405,667.853,2.0,0.5244,283.605,234.201,155.835,555.508
50,0.7667,0.044,304.609,527.77,203.39,2638.83,1016.94,1340.575,1035.966,2.0,0.8383,560.569,406.991,4.004,668.933
51,0.9165,0.2458,217.18,491.2,339.18,2455.98,1695.91,692.424,475.244,2.0,0.571,399.898,385.323,101.412,402.424
